nbeval;fitness
100;3
103;3
106;3
109;3
112;3
115;2
118;3
121;3
124;3
127;3
130;3
133;3
136;3
140;3
144;3
148;3
152;3
156;3
160;3
164;3
168;3
173;3
178;3
183;3
188;3
193;3
198;3
203;3
209;3
215;3
221;3
227;3
233;3
239;3
246;3
253;3
260;3
267;3
275;3
283;3
291;3
299;3
307;3
316;3
325;3
334;3
344;3
354;3
364;3
374;3
385;3
396;3
407;3
419;3
431;3
443;3
456;3
469;3
483;4
497;3
511;3
526;3
541;3
557;3
573;3
590;3
607;3
625;3
643;3
662;3
681;3
701;3
722;3
743;3
765;3
787;3
810;3
834;4
859;3
884;3
910;3
937;3
965;3
993;4
1022;3
1052;3
1083;3
1115;3
1148;3
1182;3
1217;3
1253;3
1290;3
1328;4
1367;4
1408;3
1450;3
1493;4
1537;3
1583;3
1630;4
1678;3
1728;4
1779;3
1832;3
1886;3
1942;3
2000;3
2060;3
2121;4
2184;4
2249;3
2316;3
2385;4
2456;4
2529;3
2604;3
2682;3
2762;3
2844;3
2929;3
3016;4
3106;3
3199;4
3294;3
3392;4
3493;3
3597;4
3704;4
3815;3
3929;3
4046;3
4167;4
4292;4
4420;3
4552;4
4688;3
4828;4
4972;4
5121;4
5274;4
5432;4
5594;3
5761;4
5933;4
6110;3
6293;4
6481;4
6675;3
6875;3
7081;3
7293;4
7511;4
7736;4
7968;4
8207;3
8453;4
8706;5
8967;4
9236;4
9513;4
9798;4
10091;3
10393;4
10704;4
11025;4
11355;3
11695;4
12045;4
12406;4
12778;4
13161;4
13555;4
13961;4
14379;4
14810;4
15254;3
15711;4
16182;4
16667;4
17167;3
17682;3
18212;4
18758;4
19320;3
19899;3
20495;4
21109;4
21742;4
22394;4
23065;4
23756;4
24468;4
25202;4
25958;4
26736;4
27538;4
28364;4
29214;4
30090;4
30992;4
31921;4
32878;4
33864;4
34879;4
35925;4
37002;4
38112;4
39255;4
40432;4
41644;4
42893;4
44179;4
45504;4
46869;4
48275;4
49723;4
51214;4
52750;4
54332;5
55961;4
57639;4
59368;4
61149;4
62983;4
64872;4
66818;4
68822;4
70886;4
73012;4
75202;4
77458;4
79781;4
82174;4
84639;4
87178;4
89793;5
92486;4
95260;5
98117;4
101060;4
104091;4
107213;4
110429;4
113741;4
117153;5
120667;4
124287;4
128015;4
131855;5
135810;4
139884;4
144080;4
148402;4
152854;4
157439;4
162162;4
167026;4
172036;4
177197;4
182512;5
187987;5
193626;4
199434;4
205417;4
211579;5
217926;4
224463;4
231196;4
238131;4
245274;4
252632;4
260210;4
268016;4
276056;4
284337;4
292867;4
301653;4
310702;5
320023;4
329623;4
339511;4
349696;4
360186;4
370991;4
382120;4
393583;4
405390;4
417551;4
430077;4
442979;5
456268;4
469956;4
484054;5
498575;4
513532;4
528937;5
544805;5
561149;4
577983;5
595322;4
613181;4
631576;4
650523;4
670038;4
690139;4
710843;4
732168;4
754133;5
776756;5
800058;4
824059;6
848780;4
874243;5
900470;4
927484;5
955308;4
983967;4
1013486;5
1043890;5
1075206;5
1107462;4
1140685;4
1174905;4
1210152;4
1246456;4
1283849;4
1322364;5
1362034;4
1402895;4
1444981;4
1488330;4
1532979;4
1578968;5
1626337;4
1675127;5
1725380;5
1777141;5
1830455;5
1885368;5
1941929;5
2000186;5
2060191;5
2121996;5
2185655;5
2251224;5
2318760;4
2388322;4
2459971;5
2533770;5
2609783;5
2688076;5
2768718;5
2851779;5
2937332;5
3025451;5
3116214;5
3209700;5
3305991;5
3405170;4
3507325;5
3612544;5
3720920;5
3832547;5
3947523;5
4065948;5
4187926;5
4313563;5
4442969;5
4576258;5
4713545;5
4854951;5
5000599;5
5150616;5
5305134;5
5464288;5
5628216;5
5797062;5
5970973;5
6150102;5
6334605;5
6524643;5
6720382;5
6921993;5
7129652;5
7343541;5
7563847;5
7790762;4
8024484;5
8265218;5
8513174;5
8768569;5
9031626;5
9302574;5
9581651;5
9869100;5